Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
tigris,TIGRIS,"<h3>TIGRIS</h3><p>Ancient river, grapefruit, ginger, ambrette</p><p>The river has been flowing since the first word was written in the clay beside it. The water catches light from a sky that stretches to the edges of civilization. Aquatic musk rises from the reeds — mineral, ancient, moving. The Tigris does not rush. It carries. And what it carries smells of green water, warm silt, and the patience of deep time.</p><p><strong>Tidal Territory</strong> — The Pull of Open Water</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Tidal, Tidal Territory, Ancient river, grapefruit, ginger, ambrette, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-TIGRIS-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,TIGRIS perfume oil by Tarife Attar,FALSE,TIGRIS — Perfume Oil | Tarife Attar Atlas Collection,"Ancient river, grapefruit, ginger, ambrette. Tidal Territory. Clean, skin-safe perfume oil. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
tigris,,,,,,,,Size,12ml,,,,,TA-TIGRIS-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
carmel,CARMEL,"<h3>CARMEL</h3><p><em>Previously known as White Amber</em></p><p>Soft amber, warm skin scent</p><p>The town has no street numbers because it has never needed them. In Carmel-by-the-Sea, the cypress trees lean with the fog and the ocean disappears every morning behind a veil of mist so soft it feels like gauze against your face. There are no neon signs. No urgency. Just the quiet warmth of amber worn close to skin, barely there, present only to those who lean in. Carmel is the scent of understatement — the whispered confidence of a woman who has never once raised her voice to be heard.</p><p><strong>Petal Territory</strong> — The Exhale of Living Gardens</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Petal, Petal Territory, formerly White Amber, Soft amber, warm skin scent, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-CARMEL-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,CARMEL perfume oil by Tarife Attar,FALSE,CARMEL — White Amber Perfume Oil | Tarife Attar Atlas Collection,"Soft amber, warm skin scent. Petal Territory. Clean, skin-safe perfume oil. Previously known as White Amber. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
carmel,,,,,,,,Size,12ml,,,,,TA-CARMEL-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
damascus,DAMASCUS,"<h3>DAMASCUS</h3><p><em>Previously known as Turkish Rose</em></p><p>Damask rose, Turkish rosewater</p><p>The rose harvest begins before dawn. Hands move through wet petals — Damask roses, heavy-headed, blooming in a perfection that lasts only hours. The distillers work quickly, capturing the fleeting sweetness before the Syrian sun burns it away. What remains is rosewater so pure it makes the air tremble, layered with a softness that lingers on linen and skin long after the petals have fallen.</p><p><strong>Petal Territory</strong> — The Exhale of Living Gardens</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Petal, Petal Territory, formerly Turkish Rose, Damask rose, Turkish rosewater, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-DAMASCUS-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,DAMASCUS perfume oil by Tarife Attar,FALSE,DAMASCUS — Turkish Rose Perfume Oil | Tarife Attar Atlas Collection,"Damask rose, Turkish rosewater. Petal Territory. Clean, skin-safe perfume oil. Previously known as Turkish Rose. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
damascus,,,,,,,,Size,12ml,,,,,TA-DAMASCUS-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
tobago,TOBAGO,"<h3>TOBAGO</h3><p><em>Previously known as Arabian Jasmine</em></p><p>Pure jasmine sambac, tropical bloom</p><p>The quieter island keeps its jasmine to itself. Where Trinidad drums and burns, Tobago blooms — white flowers climbing pastel walls, jasmine hedges lining red-dirt roads that lead to empty beaches and rainforest so old it remembers the Arawak. The air is generous here, warm and sweet without asking anything in return. Tobago is the scent of jasmine at its most honest — sun-opened, salt-touched, free of pretense, worn by the island the way the island wears its light: effortlessly.</p><p><strong>Petal Territory</strong> — The Exhale of Living Gardens</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Petal, Petal Territory, formerly Arabian Jasmine, Pure jasmine sambac, tropical bloom, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-TOBAGO-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,TOBAGO perfume oil by Tarife Attar,FALSE,TOBAGO — Arabian Jasmine Perfume Oil | Tarife Attar Atlas Collection,"Pure jasmine sambac, tropical bloom. Petal Territory. Clean, skin-safe perfume oil. Previously known as Arabian Jasmine. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
tobago,,,,,,,,Size,12ml,,,,,TA-TOBAGO-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
kandy,KANDY,"<h3>KANDY</h3><p><em>Previously known as Peach Memoir</em></p><p>Soft peach, velvety musk</p><p>The Temple of the Tooth holds the relic in silence, and the gardens hold everything else — orchids, frangipani, the soft velvet of peach blossoms after tropical rain. Kandy is the gentlest place in Sri Lanka, where the hill air softens every edge. The scent here is peach-warm, musk-soft, a velvety exhale that settles on the skin like a benediction.</p><p><strong>Petal Territory</strong> — The Exhale of Living Gardens</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Petal, Petal Territory, formerly Peach Memoir, Soft peach, velvety musk, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-KANDY-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,KANDY perfume oil by Tarife Attar,FALSE,KANDY — Peach Memoir Perfume Oil | Tarife Attar Atlas Collection,"Soft peach, velvety musk. Petal Territory. Clean, skin-safe perfume oil. Previously known as Peach Memoir. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
kandy,,,,,,,,Size,12ml,,,,,TA-KANDY-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
manali,MANALI,"<h3>MANALI</h3><p><em>Previously known as Himalayan Musk</em></p><p>High-altitude musk, clean skin</p><p>The pines thin and the Himalayas appear — white peaks against an impossible blue. The air at this altitude is so clean it almost hurts. Musk deer once roamed these slopes, and the high-altitude musk they left behind is the scent of purity itself: cool, luminous, clinging to skin like mountain light. Manali smells like the first breath after everything unnecessary falls away.</p><p><strong>Petal Territory</strong> — The Exhale of Living Gardens</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Petal, Petal Territory, formerly Himalayan Musk, High-altitude musk, clean skin, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-MANALI-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,MANALI perfume oil by Tarife Attar,FALSE,MANALI — Himalayan Musk Perfume Oil | Tarife Attar Atlas Collection,"High-altitude musk, clean skin. Petal Territory. Clean, skin-safe perfume oil. Previously known as Himalayan Musk. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
manali,,,,,,,,Size,12ml,,,,,TA-MANALI-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
medina,MEDINA,"<h3>MEDINA</h3><p><em>Previously known as Musk Tahara</em></p><p>Traditional purification musk</p><p>The Prophet's Mosque glows green at nightfall and the air fills with tahara — the musk of ritual purity, of ablution, of beginning again. In Medina, scent is inseparable from faith. The musk is clean, white, absolute. It clings to prayer robes and freshly washed skin, a fragrance that means readiness, that means grace.</p><p><strong>Petal Territory</strong> — The Exhale of Living Gardens</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Petal, Petal Territory, formerly Musk Tahara, Traditional purification musk, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-MEDINA-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,MEDINA perfume oil by Tarife Attar,FALSE,MEDINA — Musk Tahara Perfume Oil | Tarife Attar Atlas Collection,"Traditional purification musk. Petal Territory. Clean, skin-safe perfume oil. Previously known as Musk Tahara. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
medina,,,,,,,,Size,12ml,,,,,TA-MEDINA-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
siwa,SIWA,"<h3>SIWA</h3><p><em>Previously known as White Egyptian Musk</em></p><p>Egyptian oasis, white musk</p><p>The oasis appears like a rumor made real — date palms, salt lakes, and a silence so complete you can hear the desert breathe. Cleopatra is said to have bathed in Siwa's springs, and the white musk that rises from the water feels ancient enough to be true. Egyptian, ethereal, a scent carried on heat shimmer and starlight.</p><p><strong>Petal Territory</strong> — The Exhale of Living Gardens</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Petal, Petal Territory, formerly White Egyptian Musk, Egyptian oasis, white musk, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-SIWA-6ML,30,shopify,10,deny,manual,30,,TRUE,TRUE,,,1,SIWA perfume oil by Tarife Attar,FALSE,SIWA — White Egyptian Musk Perfume Oil | Tarife Attar Atlas Collection,"Egyptian oasis, white musk. Petal Territory. Clean, skin-safe perfume oil. Previously known as White Egyptian Musk. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
siwa,,,,,,,,Size,12ml,,,,,TA-SIWA-12ML,55,shopify,5,deny,manual,50,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
astoria,ASTORIA,"<h3>ASTORIA</h3><p><em>Previously known as Pacific Moss</em></p><p>Mossy forest, fir needle, ancient cedar</p><p>The fog rolls in from the Pacific and the forest floor disappears. Moss drapes every surface — fallen cedars, basalt boulders, the bones of shipwrecks that never made it past the bar. Oregon's coast smells primordial: wet earth, ancient cedar, the green patience of things that grow in the absence of light. Astoria is where the land remembers it was once all forest.</p><p><strong>Terra Territory</strong> — The Gravity of Deep Forests</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Terra, Terra Territory, formerly Pacific Moss, Mossy forest, fir needle, ancient cedar, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-ASTORIA-6ML,30,shopify,10,deny,manual,33,,TRUE,TRUE,,,1,ASTORIA perfume oil by Tarife Attar,FALSE,ASTORIA — Pacific Moss Perfume Oil | Tarife Attar Atlas Collection,"Mossy forest, fir needle, ancient cedar. Terra Territory. Clean, skin-safe perfume oil. Previously known as Pacific Moss. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
astoria,,,,,,,,Size,12ml,,,,,TA-ASTORIA-12ML,55,shopify,5,deny,manual,55,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
havana,HAVANA,"<h3>HAVANA</h3><p><em>Previously known as Oud & Tobacco</em></p><p>Dark leaf, cured wood, smoky</p><p>The tobacco leaves hang in the vega barn, curing slowly in Caribbean humidity. Dark leaf, sweet wood, the caramel edge of aged rum — Havana's air is an education in patience. The cigar roller's hands smell of cedar and earth, and the smoke that spirals from the finished product carries the weight of an island that has never stopped smoldering.</p><p><strong>Terra Territory</strong> — The Gravity of Deep Forests</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Terra, Terra Territory, formerly Oud & Tobacco, Dark leaf, cured wood, smoky, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-HAVANA-6ML,30,shopify,10,deny,manual,33,,TRUE,TRUE,,,1,HAVANA perfume oil by Tarife Attar,FALSE,HAVANA — Oud & Tobacco Perfume Oil | Tarife Attar Atlas Collection,"Dark leaf, cured wood, smoky. Terra Territory. Clean, skin-safe perfume oil. Previously known as Oud & Tobacco. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
havana,,,,,,,,Size,12ml,,,,,TA-HAVANA-12ML,55,shopify,5,deny,manual,55,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
hudson,HUDSON,"<h3>HUDSON</h3><p><em>Previously known as Spanish Sandalwood</em></p><p>Cardamom, sandalwood, leather</p><p>The train from Penn Station takes two hours and the city falls away in stages — Harlem, the Bronx, then suddenly the valley opens and the river widens and you are somewhere else entirely. Hudson is antique shops and converted warehouses, independent bookstores and Saturday farmers markets. The creative class comes here to breathe. The sandalwood here is creamy and unhurried, warmed by leather and cedar, the scent of a weekend that stretches into Monday because nobody remembered to set an alarm. Hudson is what happens when ambition learns to exhale.</p><p><strong>Terra Territory</strong> — The Gravity of Deep Forests</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Terra, Terra Territory, formerly Spanish Sandalwood, Cardamom, sandalwood, leather, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-HUDSON-6ML,30,shopify,10,deny,manual,33,,TRUE,TRUE,,,1,HUDSON perfume oil by Tarife Attar,FALSE,HUDSON — Spanish Sandalwood Perfume Oil | Tarife Attar Atlas Collection,"Cardamom, sandalwood, leather. Terra Territory. Clean, skin-safe perfume oil. Previously known as Spanish Sandalwood. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
hudson,,,,,,,,Size,12ml,,,,,TA-HUDSON-12ML,55,shopify,5,deny,manual,55,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
marrakesh,MARRAKESH,"<h3>MARRAKESH</h3><p>Moroccan spice market, warm cedar, leather</p><p>The souk folds around you — leather, cedar, cumin, the metallic ring of hammered brass. Marrakesh is a city that assaults the senses and rewards the brave. In the spice stalls of the Jemaa el-Fnaa, warm cedar chips burn alongside ras el hanout and the oud rises like smoke, woody and magnetic, pulling you deeper into the labyrinth.</p><p><strong>Terra Territory</strong> — The Gravity of Deep Forests</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Terra, Terra Territory, Moroccan spice market, warm cedar, leather, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-MARRAKESH-6ML,30,shopify,10,deny,manual,33,,TRUE,TRUE,,,1,MARRAKESH perfume oil by Tarife Attar,FALSE,MARRAKESH — Perfume Oil | Tarife Attar Atlas Collection,"Moroccan spice market, warm cedar, leather. Terra Territory. Clean, skin-safe perfume oil. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
marrakesh,,,,,,,,Size,12ml,,,,,TA-MARRAKESH-12ML,55,shopify,5,deny,manual,55,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
riyadh,RIYADH,"<h3>RIYADH</h3><p><em>Previously known as Black Oud</em></p><p>Arabian oud, noble wood</p><p>The palace doors close and the room fills with oud — not the tourist variety, but the real thing, aged in crystal decanters for years. In Riyadh, oud is status, devotion, identity. It rises from heated bukhoor, settling into white thobes and silk abayas with a nobility that cannot be faked. This is Arabian oud at its most uncompromising: dark, noble, ancient.</p><p><strong>Terra Territory</strong> — The Gravity of Deep Forests</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Terra, Terra Territory, formerly Black Oud, Arabian oud, noble wood, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-RIYADH-6ML,30,shopify,10,deny,manual,33,,TRUE,TRUE,,,1,RIYADH perfume oil by Tarife Attar,FALSE,RIYADH — Black Oud Perfume Oil | Tarife Attar Atlas Collection,"Arabian oud, noble wood. Terra Territory. Clean, skin-safe perfume oil. Previously known as Black Oud. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
riyadh,,,,,,,,Size,12ml,,,,,TA-RIYADH-12ML,55,shopify,5,deny,manual,55,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
samarkand,SAMARKAND,"<h3>SAMARKAND</h3><p><em>Previously known as Oud Aura</em></p><p>Royal oud, ceremonial wood</p><p>The Registan's turquoise domes shimmer in the Central Asian sun and the Silk Road ghosts are everywhere — merchants who carried oud westward, wrapping it in silk alongside saffron and lapis lazuli. Samarkand is the crossroads of civilization: ceremonial oud, warm wood, the dusty grandeur of an empire that connected East and West through trade, trust, and fragrance.</p><p><strong>Terra Territory</strong> — The Gravity of Deep Forests</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Terra, Terra Territory, formerly Oud Aura, Royal oud, ceremonial wood, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-SAMARKAND-6ML,30,shopify,10,deny,manual,33,,TRUE,TRUE,,,1,SAMARKAND perfume oil by Tarife Attar,FALSE,SAMARKAND — Oud Aura Perfume Oil | Tarife Attar Atlas Collection,"Royal oud, ceremonial wood. Terra Territory. Clean, skin-safe perfume oil. Previously known as Oud Aura. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
samarkand,,,,,,,,Size,12ml,,,,,TA-SAMARKAND-12ML,55,shopify,5,deny,manual,55,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
sicily,SICILY,"<h3>SICILY</h3><p><em>Previously known as Sicilian Oudh</em></p><p>Citrus grove, Mediterranean oud</p><p>The citrus groves climb the volcanic slopes and the air is electric — bergamot, blood orange, the mineral breath of Etna's black soil. Then the oud arrives, Mediterranean and unexpected, softened by salt wind and wild fennel. Sicily is where the grove meets the sea and the oud finds its warmth, yielding a fragrance that is both ancient and impossibly alive.</p><p><strong>Terra Territory</strong> — The Gravity of Deep Forests</p><p>Clean, skin-safe perfume oil. Alcohol-free. Cruelty-free.</p>",Tarife Attar,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume Oil,"Atlas Collection, Terra, Terra Territory, formerly Sicilian Oudh, Citrus grove, Mediterranean oud, perfume oil, clean fragrance, alcohol-free, cruelty-free, skin-safe",TRUE,Size,6ml,,,,,TA-SICILY-6ML,30,shopify,10,deny,manual,33,,TRUE,TRUE,,,1,SICILY perfume oil by Tarife Attar,FALSE,SICILY — Sicilian Oudh Perfume Oil | Tarife Attar Atlas Collection,"Citrus grove, Mediterranean oud. Terra Territory. Clean, skin-safe perfume oil. Previously known as Sicilian Oudh. Alcohol-free, cruelty-free.",Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Unisex,Adult,,g,,,TRUE,,,TRUE,,,active
sicily,,,,,,,,Size,12ml,,,,,TA-SICILY-12ML,55,shopify,5,deny,manual,55,,TRUE,TRUE,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,
